Chunk 3 sent to API:
ID000200 "生产方法"
ID000201 "鼓励农民和村民选择新的生产方式；碾磨产品，编织小麦烘干，修剪农场或风选谷物。"
ID000202 "水磨"
ID000203 "靠近小河的农田将建造或连接磨坊，供农民使用水力作为更快生产的方式。"
ID000204 "民兵组织"
ID000205 "#F 通过每月花费金钱，我们可以提高我们的军事潜力，武装更多的当地居民。#!"
ID000206 "民兵大厅"
ID000207 "每座城镇都将有一个供镇上的居民召集他们的士兵的大厅，以便在他们的领主认为必要时武装起来并战斗。"
ID000208 "徒步巡逻队"
ID000209 "更多被收取的金币用于民兵巡逻我们的据点，使盗匪更难进行常见的盗窃和抢劫。"
ID000210 "道路收费站"
ID000211 "通过使用我们的武装民兵为我们控制的普通贸易商征收道路通行费，我们将能够在更大程度上资助我们的民兵。"
ID000212 "警卫站"
ID000213 "通过警卫站，我们将保持我们的人民武装和占领，使他们在战争时期更容易武装和集结。"
ID000214 "扩充的大厅"
ID000215 "金币将用来扩充我们城镇中每个大厅的大小，更多的武器和食物将被储存起来，使更多的人冒险出战。"
ID000216 "骑兵巡逻队"
ID000217 "在可行的情况下，我们将为民兵巡逻队提供马匹，使他们更容易履行铲除土匪的职责，从而加强我们对人口的控制。"
ID000218 "扩充募兵队伍"
ID000219 "无论是承诺、宗教还是威胁，我们都会让每个大厅为我们的军队提供更多的人手。每个人都将在我们的军队服役！"
ID000220 "定居点"
ID000221 "#F 我的人民急切需要一片土地来休养生息，这有助于我们人口的增长，每一个寡妇，每一个孤儿都能有一个暂时歇脚的地方。#!"
ID000222 "临时定居点"
ID000223 "临时的庇护所或许不能满足每个人的需求，但是它带来的好处是显而易见的。"
ID000224 "半永久定居点"
ID000225 "半永久的据点就像一颗钉子，在恶劣的自然环境中也能发挥我们民族的韧性，人民安居乐业不是梦！"
ID000226 "大聚居区"
ID000227 "难道要一直定居在这里吗，部落人口急剧增长，总有一些不和谐的声音出现，批判我们离经叛道，背离了祖先的生活方式。"
ID000228 "牧场"
ID000229 "#F 部族的强大在于牧场的广阔程度#!"
ID000230 "家庭牧场"
ID000231 "以家庭为单位的小型草原经济体，闲时放牧，战时提供青壮年兵员。"
ID000232 "部曲联合"
ID000233 "周围几个小部族摒弃长久以来的互相敌视，将各自的大片牧场拼接起来轮流放牧，造福人民"
ID000234 "牧野王庭"
ID000235 "汇聚于王庭帐下的是我们最勇猛的武士，让外族人见识见识草原的力量！"
ID000236 "高山据点"
ID000237 "#F 高山之颠的权力保障，震慑一切宵小#!"
ID000238 "高原哨所"
ID000239 "机敏的探子和狡猾的游侠组成了我们的前哨力量，先人一步获取有利信息是胜利的关键。"
ID000240 "传统训鹰法"
ID000241 "盘踞于高天之上的神鹰是长生天的信使，它们洞悉一切，无所不查，指引我们去往一切未竟之境"
ID000242 "跨越高山"
ID000243 "长久的磨练造就了战士们坚韧的品格，雪山的冷冽气息带来猎物的踪迹，他们无处可逃。"
ID000244 "穆巴里尊训练营"
ID000245 "#F 以四大正统哈里发军队中的传奇勇士为模范，以前人记载的军法训练，我们的勇士所向披靡#!"
ID000246 "合格性选拔"
ID000247 "强健的体魄是成为穆巴里尊的基础，我们得从基础抓起。"
ID000248 "军纪整肃"
ID000249 "进退有序，令行禁止。"
ID000250 "战场情谊"
ID000251 "我们的士兵情同手足，将后背放心的交给同袍。"
ID000252 "快速组织"
ID000253 "沙漠与荒原难不倒穆巴里尊战士，我们快速集结，动如雷霆。"
ID000254 "紧密纽带"
ID000255 "强大的战士依附于强大的埃米尔，我们并非主仆关系，而是更为紧密的朋友关系。"
ID000256 "私人任务"
ID000257 "穆巴里尊的强大有目共睹，但他们不止是正面战场的好手，更是地下世界的一把利刃。"
ID000258 "亲信培养"
ID000259 "强大中仍能挑选出更加强大，我们需要进一步培养我们的穆巴里尊战士，尤其是其中的佼佼者。"
ID000260 "外族入选"
ID000261 "越来越多的外族开始归化，他们身体健壮但缺乏文明，头脑简单且易于控制。我们应该利用好这股力量，但这势必引起我们本族人民的不满。"
ID000262 "超精制钢"
ID000263 "我们多年来的研究终于有了成效，强大的战士加上强大的武装，世界必将回归正统时代！"
ID000264 "胡萨尔骑兵营"
ID000265 "#F 我们的骠骑兵是冲杀的好手，但是还能更强大#!"
ID000266 "统一军备"
ID000267 "圆盾长枪是马上战争永恒不变的主题，给圆盾嵌入钢芯，为长枪配好平衡，一切的一切只为更好的冲杀。"
ID000268 "闪电战"
ID000269 "溃逃的敌人是绝佳的靶子，加强训练，提高杀伤效率。"
ID000270 "大无畏"
ID000271 "胡萨尔骑兵名扬四海，您的威名从爱尔兰到契丹无人不知无人不晓，大无畏精神激励着我们。"
ID000272 "千亩田"
ID000273 "#F 苏杭地区强大的水利设施和自古以来的种植传统给予了当地无可比拟的农业区位优势#!"
ID000274 "水田"
ID000275 "太湖流域地势平坦，土地肥沃，河流遍布，耕地面积广阔，农作物种植历史悠久，水利设施完善。"
ID000276 "技术转移"
ID000277 "来自中原地区的先进耕作技术在此地发扬壮大，苏湖地区农业规模前所未有的飞速膨胀。"
ID000278 "人口迁徙"
ID000279 "前代所经历的战乱不断刺激着北人南下，为此地带来了大量青壮年劳动力。"
ID000280 "地区性粮仓"
ID000281 "持续不间断的良好经营使得粮食产量成倍增长，此地的粮食储量足以供应方圆千里的聚居点使用。"
ID000282 "国之仓庾"
ID000283 "世人常道：苏湖熟，天下足。"
ID000284 "萌芽"
ID000285 "一种难以言说的东西正在悄然生长，于这片遥远的东方土地之上萌芽。"
ID000286 "千亩田"
ID000287 "#F 苏杭地区强大的水利设施和自古以来的种植传统给予了当地无可比拟的农业区位优势#!"
ID000288 "水田"
ID000289 "太湖流域地势平坦，土地肥沃，河流遍布，耕地面积广阔，农作物种植历史悠久，水利设施完善。"
ID000290 "技术转移"
ID000291 "来自中原地区的先进耕作技术在此地发扬壮大，苏湖地区农业规模前所未有的飞速膨胀。"
ID000292 "人口迁徙"
ID000293 "前代所经历的战乱不断刺激着北人南下，为此地带来了大量青壮年劳动力。"
ID000294 "地区性粮仓"
ID000295 "持续不间断的良好经营使得粮食产量成倍增长，此地的粮食储量足以供应方圆千里的聚居点使用。"
ID000296 "国之仓庾"
ID000297 "世人常道：苏湖熟，天下足。"
ID000298 "萌芽"
ID000299 "一种难以言说的东西正在悄然生长，于这片遥远的东方土地之上萌芽。"

