Chunk 2 sent to API:
ID000100 毫不留念的死，毫不顾忌的死，毫不犹豫的死。
ID000101 渔猎
ID000102 小到鱼虾鳖蟹贝、大到捕鲸，战海兽，这是一种古老的行当。
ID000103 逐草而居
ID000104 古代游牧民族生活的主要特征之一，一生追逐草原，熟知草原上的所有事物。
ID000105 该[culture|E]的角色带领[army|E]途经#V $草原$#!或#V $平原$#!时，行军速度将大幅提升
ID000106 苗疆巫蛊
ID000107 先民的伟大智慧。
ID000108 蚩尤血脉
ID000109 传说中制造兵器的人，又传为主兵之神，与黄帝、炎帝并称中华三祖 ，被诸多苗人认为祖先。其后衍生出的苗人之凶悍团结之精神为世人所赞叹。
ID000110 阿伊努部族战士
ID000111 阿伊努人自称“乌塔里”，即“伙伴”，他们珍视并肩作战的族人，并以此在日本列岛的诸多纷争中艰难求生。
ID000112 东北亚骑射手
ID000113 充分适应东北亚茂密森林的骑射战士，比之草原上的其他游牧势力更加适应当地战争环境。
ID000114 骑射手
ID000115 充分适应东北亚茂密森林的骑射战士，比之草原上的其他游牧势力更加适应当地战争环境。
ID000116 防人
ID000117 为防临国威胁，从边区农村招募的临时性兵士。
ID000118 徒武者
ID000119 杀人、抢劫、强盗即为武士。
ID000120 枪足轻
ID000121 平常从事劳役，战时成为步卒。
ID000122 北面武士
ID000123 驻在院御所北面之下，守护上皇、供奉御幸的武士。
ID000124 和弓手
ID000125 大和民族传统弓道在战场上的延续。
ID000126 薙刀郎党
ID000127 使用长而锋利的薙刀作为武器，在战场上或结阵阻敌或分散掩杀，是相当难缠的对手。
ID000128 高丽弓手
ID000129 娴熟的弓手与猎人，穿行于朝鲜半岛复杂的山地森林之间，运用高超的射击技术予以敌人痛击。
ID000130 左别抄
ID000131 技艺纯熟的带盾轻步兵，知道如何避开飞来的矢雨。
ID000132 别班武
ID000133 为对抗女真人所创的精锐重步兵部队，是对付骑兵的好手。
ID000134 花郎
ID000135 少年高丽贵族自幼习武，不仅射艺超群，容貌仪态更为世人所赞叹。
ID000136 禁军
ID000137 独属于皇帝的军队，职责是保卫皇宫以及皇帝本人，经过层层选拔，武艺极为高强。
ID000138 北衙禁军
ID000139 拱卫京师的强军劲旅。
ID000140 羽林军
ID000141 直属于帝王，担任护卫帝王或皇宫、首都警备任务的军队。
ID000142 厢军
ID000143 属地方常备军，是禁军主要的来源之一。
ID000144 藩镇兵
ID000145 各道节度使，都团练使统领的藩镇军团。
ID000146 边军
ID000147 为防外敌，征募诸边镇军户参战。
ID000148 地方军
ID000149 各地自行征募的兵卒，质量良莠不齐。
ID000150 陌刀队
ID000151 陌刀队。
ID000152 乡勇
ID000153 临时招募的地方乡兵，随军战守，各自成营。
ID000154 苗人武士
ID000155 苗人全民皆兵，遇到突发的战事，苗人武士便会自发携带武器粮食在他们的“老虎汉”（武士首领）的率领下奔赴战场。
ID000156 水步师
ID000157 由擅长水战的南方步兵组成，负责水陆并进，保卫河道交通。必要时沿河网密道穿插深入，给予敌军意外打击。
ID000158 象甲士
ID000159 身披厚重象皮战甲的精英战士，不惧敌人的连天箭雨。
ID000160 乌鲁米软剑
ID000161 达嚫印度的传统武术之一，以其迅捷的速度和高超的技巧而闻名。
ID000162 乌鲁米剑士
ID000163 善用软剑的达罗毗荼战士，以极快的速度突入敌阵，对范围内敌人造成巨额伤害。
ID000164 罗阇普特战士
ID000165 骑马作战的刹帝利战士，拉其普特人的弯刀会准确落到敌人头顶。
ID000166 纳亚尔步兵
ID000167 长期修习卡拉里帕亚特武术的达嚫印度战士，手持长矛、默契配合。
ID000168 僧伽罗近卫军
ID000169 忠勇无畏的僧伽罗近卫军团，竭力护卫领主周全。
ID000170 丛林之爪
ID000171 我们模仿丛林之王老虎的爪子制成了这一强大武器——爪刃。
ID000172 爪刃战士
ID000173 南岛茂密丛林中潜伏的魅影，使用迅捷的爪刃割开敌人的咽喉。
ID000174 草原游骑
ID000175 草原游骑
ID000176 回鹘轻骑
ID000177 赞普卫戍部
ID000178 桂
ID000179 赞普卫戍部
ID000180 桂
ID000181 五茹桂骑兵
ID000182 桂
ID000183 庸东岱护持
ID000184 庸
ID000185 可以招募[GetMaA('wushi').GetName]作为[men_at_arms|E]
ID000186 可以招募[GetMaA('zuqing').GetName]作为[men_at_arms|E]
ID000187 悍勇无双
ID000188 只有强者才配活下去。
ID000189 战争艺术
ID000190 战争是门艺术，赢家通吃，输家一无所有。
ID000191 安闲自得
ID000192 生命很重要，快乐更重要。
ID000193 该[culture|E]有$ethos_courtly_name$的[ethos|E]
ID000194 骑士收容
ID000195 骄傲的骑士总是不善于经营自家地产，落魄的他们选择了完全依附于其他富裕的统治者。
ID000196 落魄骑士
ID000197 落魄到除了一身武力别无所有的封建骑士，带领一小队侍从依附在富裕的统治者治下，奢望着再次发迹的一天。
ID000198 可以招募[GetMaA('luopoqishi').GetName]作为[men_at_arms|E]
ID000199 该[culture|E]没有$ethos_spiritual_name$的[ethos|E]

