l_english:
 death_shihao.custom:0 "另择谥号"
 shihao_custom_tooltip:0 "亲自选定一个谥号"
 shihao_custom_nickname.t:0 "钦定谥号"
 shihao_custom_nickname.desc:0 "隐哀之方，景武之方也；\n施为文也，除为武也；\n辟地为襄，服远为桓；\n刚克为发，柔克为懿；\n履正为庄，有过为僖；\n施而不成为宣，惠无内德为平。\n失志无转，则以其明，余皆象也。"
 shihao_custom_nickname.a:0 "定此谥号"
 shihao_custom_nickname.a.tooltip:0 "[death_man.GetUIName]获得你选定的谥号"
 shihao_custom_nickname.b:0 "容朕三思"

  shihao_custom_nickname1:0 "[GetPlayer.GetLocalizedText('Shihao_custom_nickname_text')]"
  shihao_custom_nickname_desc: "谥：[GetPlayer.GetLocalizedText( 'Shihao_custom_nickname_text' )]"
  shihao_custom_nickname2:0 "[CHARACTER.Custom('ShihaoCustomNickname')]"

 shihao_su1:0 "素"
 shihao_ping:0 "平"
 shihao_yang:0 "炀"
 shihao_hui:0 "惠"
 shihao_ai:0 "哀"
 shihao_shang:0 "殇"
 shihao_jian:0 "俭"
 shihao_dao:0 "悼"
 shihao_si:0 "思"
 shihao_ming:0 "明"
 shihao_kai:0 "康"
 shihao_cheng:0 "成"
 shihao_ci:0 "慈"
 shihao_ding:0 "定"
 shihao_wu:0 "武"
 shihao_mingwu:0 "明武"
 shihao_lie:0 "烈"
 shihao_wen:0 "文"
 shihao_jing:0 "景"
 shihao_zhongwu:0 "孝武"
 shihao_chongwen:0 "崇文"
 shihao_sang:0 "丧"
 shihao_chun:0 "纯"
 shihao_jie:0 "节"
 shihao_liang:0 "良"
 shihao_cong:0 "聪"
 shihao_de:0 "德"
 shihao_gao:0 "高"
 shihao_guang:0 "光"
 shihao_hou:0 "厚"


#单字谥号

shihao_ai:0 "哀"
shihao_an:0 "安"
shihao_cheng:0 "成"
shihao_chong:0 "崇"
shihao_chun:0 "纯"
shihao_dai:0 "代"
shihao_dai1:0 "戴"
shihao_dao:0 "道"
shihao_de:0 "德"
shihao_ding:0 "定"
shihao_du:0 "度"
shihao_duan:0 "端"
shihao_gao:0 "高"
shihao_gong:0 "恭"
shihao_guang:0 "光"
shihao_huai:0 "怀"
shihao_huan:0 "桓"
shihao_hui:0 "徽"
shihao_hui1:0 "惠"
shihao_jian:0 "简"
shihao_jing:0 "景"
shihao_jin:0 "敬"
shihao_jin1:0 "靖"
shihao_kang:0 "康"
shihao_li:0 "礼"
shihao_li1:0 "理"
shihao_lie:0 "烈"
shihao_ming:0 "明"
shihao_mu:0 "穆"
shihao_ning:0 "宁"
shihao_qing:0 "钦"
shihao_ren:0 "仁"
shihao_rui:0 "睿"
shihao_shao:0 "绍"
shihao_shen:0 "神"
shihao_sheng:0 "圣"
shihao_shi:0 "世"
shihao_si:0 "思"
shihao_shun:0 "顺"
shihao_su:0 "肃"
shihao_tai:0 "太"
shihao_wei:0 "威"
shihao_wen:0 "文"
shihao_wu:0 "武"
shihao_xi:0 "熙"
shihao_xi1:0 "熹"
shihao_xi2:0 "僖"
shihao_xian:0 "显"
shihao_xian1:0 "宪"
shihao_xian2:0 "献"
shihao_xiang:0 "襄"
shihao_xiao:0 "孝"
shihao_xing:0 "兴"
shihao_xuan:0 "宣"
shihao_xuan1:0 "玄"
shihao_yi:0 "义"
shihao_yi1:0 "毅"
shihao_yi2:0 "翼"
shihao_yi3:0 "懿"
shihao_ying:0 "英"
shihao_yu:0 "裕"
shihao_yuan:0 "元"
shihao_zhang:0 "章"
shihao_zhao:0 "昭"
