Chunk 2 sent to API:
ID000104 花豹
ID000105 野牛
ID000107 [ROOT.Legend.GetProtagonist.Custom('OE_GetUINameNotMeNoTooltip')|U]的母亲曾梦[ROOT.Legend.GetProtagonist.Custom('AuspiciousPregnantDream')]，已而有娠，诞下了[ROOT.Legend.GetProtagonist.GetHerHim]，是日，[ROOT.Legend.GetProtagonist.Custom('AuspiciousBirth')]。
ID000108 赤光照室
ID000109 有声如炉炭之裂，星火四迸
ID000110 白气充庭
ID000111 井水暴溢
ID000112 闾巷闻有异香
ID000113 五星从镇星聚奎
ID000115 左足指有文成“天”字
ID000116 群鼠吐五色气成云
ID000117 神人捧日以授
ID000118 日坠于庭，以手承之
ID000119 天使与己兰
ID000120 景星
ID000121 庆云
ID000122 甘露
ID000125 凤凰
ID000126 巨龟
ID000132 苍鸟
ID000133 朱雁
ID000134 嘉禾
ID000135 木连理
ID000136 五星连珠
ID000137 海出明珠
ID000138 河出图 洛出书
ID000140 枯木再生
ID000141 威震华夏关云长
ID000142 燕人张翼德演义
ID000143 诸葛武侯之功业
ID000144 吕温侯传奇
ID000147 渊盖苏文之业
ID000148 大唐玄奘西游记
ID000149 敦煌英雄
ID000150 岳家军传奇
ID000151 杨家将演义
ID000152 平将门传奇
ID000153 弥勒下生
ID000154 明王出世
ID000155 替天行道
ID000156 [title.GetHolder.GetDynastyNameNoTooltip|U][title.GetNameNoTierNoTooltip|U]已死，[founder.GetDynastyNameNoTooltip|U]氏当立
ID000157 [founder.GetTopLiege.GetDynastyNameNoTooltip|U][founder.GetTopLiege.GetPrimaryTitle.GetNameNoTierNoTooltip|U]已死，[founder.GetDynastyNameNoTooltip|U]氏当立
ID000158 [founder.GetPrimaryTitle.GetNameNoTierNoTooltip|U]兴，天子[founder.GetDynastyNameNoTooltip|U]
ID000159 腐朽的王朝天命不再，[founder.Custom('OE_GetTitledFirstName')|U]从灰烬中重生，在[founder.GetHerHis]仁慈的统治下将迎来繁荣。
ID000161 [ancestor.GetFaith.WarGodName]下凡
ID000163 [ROOT.Legend.GetProtagonist.GetTitledFirstNameNoTooltip]天生异于常人，信徒们相信[ROOT.Legend.GetProtagonist.GetHerHim]是[ROOT.Legend.GetProtagonist.GetFaith.WarGodName]下凡降世。
ID000164 “日安，[ROOT.Char.GetTitleAsNameNoTooltip|U]，或许我应当称呼您为‘[legend_character.GetFaith.HighGodName|U]之子’？实际上，我遍寻记录，发现您祖先的‘神’事实上是一位完成了无数英勇事迹的英勇凡人。
ID000165 [chronicler.GetSheHe|U]诚惶诚恐地跪下来再三叩首。“啊，圣明的[ROOT.Char.GetTitleAsNameNoTooltip|U]。我有充分的理由猜测您是前朝[ancestor.GetDynastyNameNoTooltip|U][ancestor.Custom('GetUIGuohao')]皇室的血裔！
ID000166 “今天[ROOT.Char.GetFaith.HighGodName|U]对你的家族微笑，[ROOT.Char.GetTitleAsNameNoTooltip|U]。我一直在搜索关于你的偶像[legend_character.GetName]的信息，并且找到了足以让[legend_character.GetHerHim]成为[GetTrait('saint').GetNameNoTooltip( ROOT.Char )]的消息！
ID000167 “今天[ROOT.Char.GetFaith.HighGodName|U]对你的家族微笑，[ROOT.Char.GetTitleAsNameNoTooltip|U]。我一直在搜索关于你的祖先[legend_character.GetName]的信息，并且找到了足以让其成为[GetTrait('saint').GetNameNoTooltip( ROOT.Char )]的消息！
ID000168 “今天[ROOT.Char.HighGodName|U]对你的家族微笑，[ROOT.Char.GetTitleAsNameNoTooltip|U]。我一直在搜索关于你的祖先的信息，并且找到了证据：您的祖先之一是强大的[Localize( creature )]！
ID000169 “[ROOT.Char.GetFaith.HighGodName|U]今天对我们微笑，[ROOT.Char.GetTitleAsNameNoTooltip]，[Localize( god )]的祥瑞出现在[ROOT.Char.GetLocation.GetName]。正如在你出生那天一样，这代表你将会成就伟大的事业。
ID000171 皇族后裔[legend|E]必须存在于你的[realm|E]内
ID000172 蓬莱
ID000173 桃花源
ID000174 北溟
ID000175 青丘
ID000176 竹简
ID000177 简册

