Chunk 8 sent to API:
ID000 统一女真诸部
ID001 全军整备！
ID002 统一女真诸部准备征服世界
ID003 女真大军
ID004 女真征服战争（一阶段）
ID005 女真征服战争
ID006 女真征服战争（二阶段）
ID007 女真征服战争（三阶段）
ID008 交出你的土地！
ID009 你腐朽的统治是时候结束了，我，[nvzhenzhengfuzhe.GetDynastyName]·[nvzhenzhengfuzhe.GetFirstName]，给你三天时间交出你的地盘，否则后果自负！
ID010 我的大人，我愿意放弃我的土地并臣服于您......
ID011 臣服于[nvzhenzhengfuzhe.GetTitledFirstName]
ID012 与[nvzhenzhengfuzhe.GetTitledFirstName]开战
ID013 向[demand_recipient.GetTitledFirstName]开战
ID014 滚！
ID015 致愚蠢的[nvzhenzhengfuzhe.GetFirstName]
ID016 收回你的威胁！愚蠢的[nvzhenzhengfuzhe.GetFirstName]！\n\n你的威胁比三岁小孩还无力，你以为你是谁？你这妄想染指我的领土的猪猡。
ID017 狗东西，我要把你碾的连渣都不剩！
ID018 征服伊始
ID019 我和我的族人们被召集于[nvzhenzhengfuzhe.GetDynastyName]·[nvzhenzhengfuzhe.GetFirstName]帐前，女真人的每一个氏族首领和封臣都汇聚于此。我们都知道为何，并在烟雾缭绕的穹庐内进行了整夜的商议，其间没有产生任何怀疑。\n\n[nvzhenzhengfuzhe.GetFirstName]高声呼喊着祖先的姓名，他走过每一位女真战士的面前并与之亲切交流，我能感受到战士们的热血在沸腾。\n\n从现在开始，世界将在征服者[nvzhenzhengfuzhe.GetFirstName]脚下颤抖!
ID020 为了女真人的荣耀！为了[nvzhenzhengfuzhe.GetDynastyName]·[nvzhenzhengfuzhe.GetFirstName]！
ID021 你击退了[attacker.GetShortUIName|U]，但下一次呢......
ID022 玩家增加地产格子
ID023 撞令郎
ID024 准备出发！
ID025 行动很顺利
ID026 又到迫害异族的时候了
ID027 撞令郎
ID028 从丝路贸易中攫取利润
ID029 金钱就是正义！
ID030 金钱就是正义！
ID031 你赚了笔大的
ID032 组建银枪效节都
ID033 我意已决！
ID034 组建很成功
ID035 组建银枪效节都
ID036 组建鸦儿军（ai）小规模
ID037 组建鸦儿军（ai）大规模
ID038 组建鸦儿军
ID039 我意已决！
ID040 组建很成功
ID041 组建鸦儿军
ID042 鸦儿军
ID043 藩镇兵（ai）小规模
ID044 藩镇兵（ai）大规模
ID045 扩充牙兵
ID046 我意已决！
ID047 你感觉倍有面子
ID048 我需要一支可靠的私人卫队
ID049 藩帅卫队

