Chunk 11 sent to API:
ID000 该死的，他们是抢到手黄金了，那我的呢！
ID001 必须严惩！
ID002 草原动员（ai）
ID003 烈火与尖刀！！！
ID004 来啊，传我号令！
ID005 草原动员
ID006 我的族人们渴望财富，他们摩拳擦掌，跃跃欲试，很显然，我现在应该将所有能上马的战士都召集起来。
ID007 烈火与尖刀！！！
ID008 来啊，传我号令！
ID009 动员所需的威望和金钱与威望等级，威望总量，军事点数，管理点数，宗族威望等级，总兵力，政体等一系列因素均有关
ID010 草原动员
ID011 战士们奔走相告，无以计数的牧民拖家带口来到我的大帐前，无边的烟尘从地平线上升起，所有能上马的战士都汇拢了过来，焦躁与不安的气息四处弥漫，只等我一声令下......
ID012 我们需要战争！
ID013 或许我不该这么莽撞......
ID014 弓骑兵
ID015 轻骑兵
ID016 草原突骑
ID017 突厥重骑兵
ID018 重骑兵
ID019 苏格兰高地战士
ID020 穿梭于苏格兰北部高地的勇猛战士，他们的格子衫上闪耀着不屈之光。
ID021 凯尔特战士
ID022 遍布战纹、赤裸上身的凯尔特氏族战士，让不可一世的罗马军团吃尽苦头。
ID023 盎格鲁-撒克逊民兵
ID024 这些自由民兵的装备和供给堪称精良，他们平时接受强大的亲卫军的训练与监督，战斗意志格外突出。
ID025 御卫
ID026 御卫军拥有整支军队中最精良的装备，他们是王公贵族选拔出来的强大战士。
ID027 威尔士长弓手
ID028 这些强大的威尔士弓手个个射艺非凡，他们手中的紫杉长弓每一次翕动都能带走一个敌军士兵的性命。
ID029 威尔士长弓手
ID030 这些强大的威尔士弓手个个射艺非凡，他们手中的紫杉长弓每一次翕动都能带走一个敌军士兵的性命。
ID031 山地游骑兵
ID032 威尔士山区技艺高超的轻型骑兵，自由驰骋于森林与山地之间。
ID033 沼泽猎手
ID034 爱尔兰沼泽遍布，但优秀的骑手总能找到捷径。
ID035 爱尔兰投石手
ID036 投石索的使用可以追溯到石器时代的猎人先民，如果飞速掷出的石块正中目标头部，即使是一头野牛也会很快倒毙，我们精挑细选的强壮战士能够轻易做到这点。
ID037 爱尔兰投石手
ID038 投石索的使用可以追溯到石器时代的猎人先民，如果飞速掷出的石块正中目标头部，即使是一头野牛也会很快倒毙，我们精挑细选的强壮战士能够轻易做到这点。
ID039 外乡勇士
ID040 这些来自苏格兰北部高地的盖尔雇佣兵个个武艺非凡，只要钱给的到位，什么都不是问题。
ID041 盖尔老兵
ID042 这些来自苏格兰北部高地的盖尔雇佣兵闲暇之余很乐意为同族的领主效力。
ID043 阿瓦尔轻骑
ID044 阿瓦尔是一支强大的草原民族，他们的铁蹄自东方踏来。
ID045 阿瓦尔重骑兵
ID046 古老而强大的重装骑兵。
ID047 保加利亚重骑兵
ID048 保加利亚人征服阿瓦尔人后将他们编入骑兵部队，利用他们超绝的马战经验打造了这支骑兵劲旅。
ID049 保加利亚重骑兵

