l_english:
 death_shihao.custom:0 "Choose another posthumous name"
 shihao_custom_tooltip:0 "Select a posthumous name personally"
 shihao_custom_nickname.t:0 "Imperially Designated Posthumous Name"
 shihao_custom_nickname.desc:0 "The way of hidden mourning, the way of prosperous martial valor;\nActs of culture, removal by military;\nOpening lands to assist, serving afar to maintain;\nStrong victory as 'Rise', soft victory as 'Gracious';\nStepping rightly as 'Solemn', having faults as 'Benevolent';\nActing without success as 'Declaration', kindness without internal virtue as 'Pacification'.\nIf aspirations are lost and there are no changes, then by its clarity, all else is an imitation."
 shihao_custom_nickname.a:0 "Set this posthumous name"
 shihao_custom_nickname.a.tooltip:0 "[death_man.GetUIName] has received the posthumous name you selected"
 shihao_custom_nickname.b:0 "Allow me to think thrice"

  shihao_custom_nickname1:0 "[GetPlayer.GetLocalizedText('Shihao_custom_nickname_text')]"
  shihao_custom_nickname_desc: "Posthumous name: [GetPlayer.GetLocalizedText( 'Shihao_custom_nickname_text' )]"
  shihao_custom_nickname2:0 "[CHARACTER.Custom('ShihaoCustomNickname')]"

 shihao_su1:0 "Simple"
 shihao_ping:0 "Peaceful"
 shihao_yang:0 "Bright"
 shihao_hui:0 "Beneficial"
 shihao_ai:0 "Mournful"
 shihao_shang:0 "Grieved"
 shihao_jian:0 "Frugal"
 shihao_dao:0 "Sorrowful"
 shihao_si:0 "Pensive"
 shihao_ming:0 "Illustrious"
 shihao_kai:0 "Healthy"
 shihao_cheng:0 "Achieving"
 shihao_ci:0 "Kind"
 shihao_ding:0 "Determined"
 shihao_wu:0 "Martial"
 shihao_mingwu:0 "Illustrious Martial"
 shihao_lie:0 "Ferocious"
 shihao_wen:0 "Literary"
 shihao_jing:0 "Spectacular"
 shihao_zhongwu:0 "Filial Martial"
 shihao_chongwen:0 "Promote Literature"
 shihao_sang:0 "Mourning"
 shihao_chun:0 "Pure"
 shihao_jie:0 "Righteous"
 shihao_liang:0 "Good"
 shihao_cong:0 "Wise"
 shihao_de:0 "Virtuous"
 shihao_gao:0 "High"
 shihao_guang:0 "Illuminating"
 shihao_hou:0 "Abundant"


#Single Character Posthumous Names

shihao_ai:0 "Mournful"
shihao_an:0 "Peaceful"
shihao_cheng:0 "Achieving"
shihao_chong:0 "Respectful"
shihao_chun:0 "Pure"
shihao_dai:0 "Dynasty"
shihao_dai1:0 "Wear"
shihao_dao:0 "Path"
shihao_de:0 "Virtue"
shihao_ding:0 "Determined"
shihao_du:0 "Measure"
shihao_duan:0 "Proper"
shihao_gao:0 "High"
shihao_gong:0 "Respectful"
shihao_guang:0 "Illuminating"
shihao_huai:0 "怀"
shihao_huan:0 "Maintaining"
shihao_hui:0 "Emblem"
shihao_hui1:0 "Beneficial"
shihao_jian:0 "Simple"
shihao_jing:0 "Spectacular"
shihao_jin:0 "Respectful"
shihao_jin1:0 "Calm"
shihao_kang:0 "Healthy"
shihao_li:0 "Ritual"
shihao_li1:0 "Reason"
shihao_lie:0 "Ferocious"
shihao_ming:0 "Illustrious"
shihao_mu:0 "Serene"
shihao_ning:0 "Peaceful"
shihao_qing:0 "Respectful"
shihao_ren:0 "Benevolent"
shihao_rui:0 "Wise"
shihao_shao:0 "Succession"
shihao_shen:0 "Divine"
shihao_sheng:0 "Holy"
shihao_shi:0 "Worldly"
shihao_si:0 "Pensive"
shihao_shun:0 "Smooth"
shihao_su:0 "Somber"
shihao_tai:0 "Great"
shihao_wei:0 "Mighty"
shihao_wen:0 "Literary"
shihao_wu:0 "Martial"
shihao_xi:0 "Flourishing"
shihao_xi1:0 "Radiant"
shihao_xi2:0 "Kind"
shihao_xian:0 "Eminent"
shihao_xian1:0 "Constitution"
shihao_xian2:0 "To Offer"
shihao_xiang:0 "Assist"
shihao_xiao:0 "Filial"
shihao_xing:0 "Prosperous"
shihao_xuan:0 "Proclaim"
shihao_xuan1:0 "Mysterious"
shihao_yi:0 "Righteous"
shihao_yi1:0 "Resolute"
shihao_yi2:0 "Wing"
shihao_yi3:0 "Gracious"
shihao_ying:0 "Heroic"
shihao_yu:0 "Abundant"
shihao_yuan:0 "Origin"
shihao_zhang:0 "Chapter"
shihao_zhao:0 "Illuminated"
shihao_zhe:0 "Philosopher"
shihao_zhen:0 "Truth"
shihao_zhong:0 "Center"
shihao_zhuang:0 "Solemn"
 
 shihao_yang_king:0 "King of Brightness"
 shihao_hui_king:0 "King of Beneficence"
 shihao_ai_king:0 "King of Mourning"
 shihao_jian_king:0 "King of Frugality"
 shihao_dao_king:0 "King of Sorrow"
 shihao_si_king:0 "King of Pensive"
 shihao_ming_king:0 "King of Illumination"
 shihao_kai_king:0 "King of Health"
 shihao_cheng_king:0 "King of Achievements"
 shihao_ci_king:0 "King of Kindness"
 shihao_ding_king:0 "King of Determination"
 shihao_wu_king:0 "King of War"
 shihao_mingwu_king:0 "King of Illustrious Martial"
 shihao_lie_king:0 "King of Ferocity"
 shihao_wen_king:0 "King of Literature"
 shihao_jing_king:0 "King of Spectacle"

 nick_taizu:0 "Founding Ancestor"
 nick_chengzu:0 "Grand Ancestor"
 nick_chunzu:0 "Pure Ancestor"

 #Traits Event Posthumous Names# 

 shihao_aizong:0 "Filial and Compassionate"
 shihao_anzong:0 "Proclaimed Benevolent and Observant"
 shihao_chengzong:0 "Imperially Illuminated Filial"
 shihao_chongzong:0 "Holy Literature"
 shihao_chunzong:0 "Wise and Holy with Sincerity"
 shihao_daizong:0 "Wise Literature and Filial Martial"
 shihao_daizong1:0 "Illustrious Filial and Proper"
 shihao_daozong:0 "Filial Literature"
 shihao_dezong:0 "Divine Martial and Filial Literature"
 shihao_dingzong:0 "Simple and Peaceful Filial"
 shihao_duzong:0 "Properly Civil Martial Spectacular Filial"
 shihao_duanzong:0 "Abundant Literature and Illustrious Martial Compassionate Filial"
 shihao_gaozong:0 "Heavenly Emperor Great Sage Great Illuminated Filial"
 shihao_gongzong:0 "Gracious Sacred Spectacular Serene"
 shihao_guangzong:0 "Holy Philosopher Benevolent Filial"
 shihao_huaizong:0 "Filial Thoughts"
 shihao_huanzong:0 "Holy Virtue Divine Achievement Literature and Martial"
 shihao_huizong:0 "Constitution Kind Eminence Filial"
 shihao_huizong1:0 "Healthy Peaceful Filial Respectful"
 shihao_jianzong:0 "Illustrious Bright Filial"
 shihao_jingzong:0 "Illustrious Proclamation Bright Ferocity Filial"
 shihao_jinzong:0 "Wise Martial Illustrious Compassionate Filial"
 shihao_jinzong1:0 "Filial Peace"
 shihao_kangzong:0 "Exploitation and Respectful Simple"
 shihao_lizong:0 "Filial Proper"
 shihao_lizong1:0 "Holy Bright Peace Filial"
 shihao_liezong:0 "Illustrious Filial Martial"
 shihao_mingzong:0 "Ultimate Virtue Harmonious Martial Respectful Filial"
 shihao_muzong:0 "Filial Peace Respectful Justice"
 shihao_ningzong:0 "Holy Achievements Filial"
 shihao_qingzong:0 "Respectful Literature Smooth Virtue Benevolence Filial"
 shihao_renzong:0 "Literary Holy Martial Wise Philosopher Bright Filial"
 shihao_ruizong:0 "Mysterious True Great Holy Great Flourishing Filial"
