Chunk 16 sent to API:
ID000 贝都因部落骑手
ID001 贝都因的骑马传统催生了这些穿梭于渺渺沙漠的部落骑手，他们是天生的沙漠战士。
ID002 贝都因精骑
ID003 贝都因人以骑上快马为荣耀，骑马的部落勇士如同沙漠里的狂风一样呼啸着摧毁敌人的防线。
ID004 贝都因轻骑扈从
ID005 我们通过赋予东部贝都因部落成员特权，将他们转变为高效而忠诚的保镖，这为埃及和叙利亚地区带来了和平并加强了对这一战略地区的控制。
ID006 贝都因轻骑扈从
ID007 这些贝都因人是高效而忠诚的保镖，他们如沙漠里的狂风一般呼啸着冲破敌人的防线。
ID008 伊斯兰之剑
ID009 星月所见！
ID010 群峦战士
ID011 伊朗的山区艰险无比，只有本地人才能在此地长久的生存。
ID012 答儿密山地战士
ID013 伊朗山区的强大战士，无与伦比的好战分子。
ID014 答儿密精英战士
ID015 或是寻求财富，或是躲避战乱，一部分答儿密人迁徙至此，凭借骨子里的战斗意志，他们在军队里的地位节节攀升。
ID016 答儿密精英战士
ID017 或是寻求财富，或是躲避战乱，一部分答儿密人迁徙至此，凭借骨子里的战斗意志，他们在军队里的地位节节攀升。
ID018 铰链船尾舵
ID019 借助遥远东方传入的先进航海技术，我们的精英战士得以通过海上运输快速抵达战场。
ID020 波斯重骑
ID021 我们传承以久的重骑兵作战方式永不过时。
ID022 波斯重骑兵
ID023 这些强大的骑手纵横中亚千年之久！
ID024 萨瓦兰
ID025 古波斯的重装骑兵，以正面战场上的勇悍而闻名。
ID026 扎耶丹不朽者
ID027 古老而强大的不朽者军团，辉煌的阿胡拉守卫者。
ID028 扎耶丹不朽者
ID029 古老而强大的不朽者军团，辉煌的阿胡拉守卫者。
ID030 诺亚方舟
ID031 我们坚信自己是史前大洪水的唯一幸存者，我们诺亚之子绝不屈从于任何其他文明。
ID032 高原雄鹰
ID033 该[culture|E]的人民正如亚美尼亚高原上的雄鹰一般冷静专注，极其强大的[martial|E]天赋使得他们往往备受统治者的青睐，但其骨子里如鹰一般难以驯服的性格又使其民族本身命途多舛。
ID034 阿扎塔夫雷尔
ID035 从古代开始，亚美尼亚就存在由精英战士组成的阿扎塔夫雷尔骑兵，他们是令人恐惧的重骑兵部队，在高原故土上自由驰骋。
ID036 阿扎塔夫雷尔
ID037 从古代开始，亚美尼亚就存在由精英战士组成的阿扎塔夫雷尔骑兵，他们是令人恐惧的重骑兵部队，在高原故土上自由驰骋。
ID038 亚美尼亚步弓手
ID039 亚美尼亚高原上潜伏的迅捷弓手，他们居高临下向敌人射出成片可怕的箭雨。
ID040 亚美尼亚步弓手
ID041 大量亚美尼亚人从高原上迁出，我们得以趁机将这些强大的弓箭手整合进军中。
ID042 钩镰
ID043 这种古老的工具在战场上发扬光大，我们给它安上长杆，用以克制成群的骑兵。
ID044 重钩镰手
ID045 这些钩镰手们身穿重甲立于阵前，手中长而有力的钩镰即是他们傲视一切骑兵的资本。
ID046 万国佣兵团
ID047 作为历史悠久的千年帝国，拜占庭对使用雇佣军早就习以为常，而种类繁多的雇佣军也在拜占庭军事史上留下了浓墨重彩的一笔。
ID048 拜占庭弓骑佣兵
ID049 帝国强大的制甲技术武装了这些从草原远道而来的佣兵，虽然牺牲了些许追击能力，但他们的防御力大为提升。

